n_muestra,tiempo_s,hora,ect,rpm,velocidad,vbatt,tps,freno_del,freno_tra,pcomb,taceite,paceite,map,lambda
267,13.619,17:42:35.372,96.8,13431,114,13.6,95,0.0,,3.43,111.6,6.12,97,0.90
268,13.619,17:42:35.372,97.1,13479,117,13.6,95,0.0,,3.47,111.2,6.14,96,0.89
269,13.619,17:42:35.372,96.6,13529,114,13.6,94,0.0,,3.45,111.3,6.16,96,0.85
270,13.619,17:42:35.372,96.9,13529,115,13.6,94,0.0,,3.47,111.5,6.15,94,0.89
271,13.814,17:42:35.568,96.6,13336,114,13.6,93,0.0,,3.46,111.5,6.05,95,0.86
272,13.814,17:42:35.568,96.7,13395,112,13.6,92,0.0,,3.47,111.1,6.10,96,0.87
273,13.814,17:42:35.568,96.8,13240,112,13.6,92,0.2,,3.50,111.2,6.03,93,0.89
274,13.815,17:42:35.568,96.7,13109,113,13.6,91,0.0,,3.51,111.6,5.98,93,0.89
275,14.009,17:42:35.762,96.8,13053,110,13.6,90,0.0,,3.45,111.3,5.93,93,0.86
276,14.009,17:42:35.762,96.4,12895,111,13.6,88,0.1,,3.47,111.2,5.84,91,0.86
277,14.009,17:42:35.762,96.2,12924,108,13.6,87,0.0,,3.46,111.3,5.89,91,0.87
278,14.009,17:42:35.762,96.3,12700,107,13.6,86,0.1,,3.53,110.8,5.78,89,0.90
279,14.202,17:42:35.956,96.0,12528,107,13.6,84,0.4,,3.48,110.9,5.66,89,0.90
280,14.202,17:42:35.956,96.3,12431,105,13.7,83,0.1,,3.48,110.7,5.66,87,0.87
281,14.202,17:42:35.956,96.1,12302,104,13.7,81,0.1,,3.49,111.1,5.61,86,0.89
282,14.397,17:42:36.150,95.8,12010,103,13.7,80,0.0,,3.50,110.6,5.48,84,0.89
283,14.397,17:42:36.150,96.0,11888,99,13.7,78,0.1,,3.57,110.1,5.43,83,0.91
284,14.397,17:42:36.151,95.5,11641,99,13.7,76,0.0,,3.50,110.0,5.31,84,0.91
285,14.397,17:42:36.151,95.6,11632,96,13.7,74,0.0,,3.55,110.5,5.26,80,0.88
286,14.594,17:42:36.348,95.5,11303,95,13.7,72,0.1,,3.51,110.5,5.16,80,0.93
287,14.594,17:42:36.348,95.7,11111,93,13.7,70,0.0,,3.53,109.7,5.09,78,0.90
288,14.594,17:42:36.348,95.3,10877,92,13.7,67,0.0,,3.59,109.5,4.95,78,0.92
289,14.594,17:42:36.348,95.4,10771,90,13.7,65,0.0,,3.55,110.0,4.86,75,0.93
290,14.785,17:42:36.539,95.2,10369,88,13.8,63,0.2,,3.59,109.9,4.67,73,0.93
291,14.785,17:42:36.539,95.1,10106,86,13.8,60,0.0,,3.62,109.7,4.58,70,0.90
292,14.785,17:42:36.539,95.2,9796,82,13.8,57,0.2,,3.59,109.2,4.50,71,0.94
293,14.786,17:42:36.539,94.7,9671,79,13.8,55,0.0,,3.61,109.0,4.43,69,0.91
294,14.979,17:42:36.733,94.5,9386,76,13.8,52,0.2,,3.64,109.1,4.22,65,0.96
295,14.979,17:42:36.733,94.4,9018,75,13.8,49,0.4,,3.63,108.4,4.11,65,0.94
296,14.980,17:42:36.733,94.6,8797,72,13.8,47,0.2,,3.65,108.4,4.00,61,0.94
297,14.980,17:42:36.733,94.4,8414,69,13.8,44,0.0,,3.65,108.0,3.80,59,0.92
298,15.176,17:42:36.929,93.9,8079,66,13.8,41,0.0,,3.64,108.2,3.66,56,0.95
299,15.176,17:42:36.929,94.1,7668,64,13.8,38,0.0,,3.66,108.1,3.49,55,0.95
300,15.176,17:42:36.930,93.8,7388,61,13.9,35,0.0,,3.68,107.8,3.32,53,0.95
301,15.176,17:42:36.930,93.8,6880,56,13.9,32,0.2,,3.67,107.7,3.12,51,0.94
302,15.372,17:42:37.126,93.9,6553,53,13.9,28,0.1,,3.72,107.4,2.97,48,0.97
303,15.373,17:42:37.126,93.6,6061,51,13.9,25,0.0,,3.71,107.0,2.72,46,0.96
304,15.373,17:42:37.126,93.2,5601,47,13.9,22,0.0,,3.75,106.9,2.57,43,0.97
305,15.373,17:42:37.126,93.0,5164,42,13.9,19,0.3,,3.74,106.6,2.39,42,0.99
306,15.570,17:42:37.324,92.8,4686,39,13.9,16,0.0,,3.74,106.4,2.14,38,0.99
307,15.570,17:42:37.324,93.0,4095,36,13.9,12,0.3,,3.78,106.3,1.89,37,1.00
308,15.570,17:42:37.324,92.9,3527,32,14.0,9,0.1,,3.76,106.2,1.58,33,0.99
309,15.570,17:42:37.324,92.4,2974,26,14.0,6,1.7,,3.75,106.3,1.34,31,1.01
310,15.766,17:42:37.519,92.5,2092,19,14.0,2,26.7,,3.76,105.8,0.97,30,0.98
311,15.766,17:42:37.519,92.0,1308,14,14.0,0,45.1,,3.77,106.0,0.82,28,0.98
312,15.766,17:42:37.519,92.4,1098,16,14.0,0,45.3,,3.79,105.3,0.79,27,1.00
313,15.964,17:42:37.718,92.2,1114,16,14.0,0,45.0,,3.79,105.6,0.81,29,0.98
314,15.964,17:42:37.718,92.0,1717,17,14.0,1,38.7,,3.77,105.6,0.82,28,1.02
315,15.964,17:42:37.718,92.5,2661,25,14.0,4,13.2,,3.79,106.0,1.17,32,0.99
316,15.964,17:42:37.718,92.7,3252,29,14.0,8,0.0,,3.78,106.0,1.48,32,1.01
317,16.159,17:42:37.912,92.5,3919,32,14.0,11,0.0,,3.78,106.3,1.81,34,1.00
318,16.159,17:42:37.912,92.7,4477,36,14.0,14,0.4,,3.77,106.5,2.01,37,0.99
319,16.159,17:42:37.912,92.8,4967,41,14.0,17,0.3,,3.76,106.9,2.25,42,0.96
320,16.159,17:42:37.912,92.9,5448,45,14.0,21,0.0,,3.71,106.8,2.46,42,0.99
